barrierId	barrierResolved	barrierStatus	country	description	keyBarrier	reportedDate	lastUpdateDate	sps	title	measures	products	sectors
15022	False	Active	Saudi Arabia	"Saudi Arabia imposes temporary country wide bans on imports of live animals whenever the country notifies an animal disease outbreak.  Herewith, Saudi Arabia does not follow the international standards of the World Organisation for Animal Health (OIE) of which the standards clearly state that trade can continue to take place under certain conditions without banning the whole country.
The EU has measures in place that guarantee the continuation of safe trade when outbreaks of animal diseases occur.  The EU measures are transparent and available to all trading partners.
The EU requests Saudi Arabia to respect the international standards and not to introduce import conditions more trade restrictive than necessary."	False	01 Jan 2016	07 Feb 2020	True	country wide ban of live animals imports due to OIE notification of animal disease outbreaks	[{'id': 43, 'sps': True, 'code': '1001', 'name': 'ANIMAL HEALTH REASONS', 'parentId': None, 'active': True}]	[{'@objid': 1, 'id': 2, 'sps': True, 'code': '01', 'name': 'Live animals', 'active': True, 'leaf': False, 'parent': None, 'section': 1}]	[{'id': 20, 'code': 'S3000', 'name': 'Agriculture and Fisheries', 'active': True}]
15388	False	Active	Japan	According to the OIE Terrestrial Animal Health code on infection with Avian Influenza Viruses chapter 10.4 (article 10.4.1, para 3) and 8)) no trade restriction measures should be taken in case of outbreaks of:      •  Low Pathogenic Avian Influenza (LPAI) in wild birds, captive birds or in poultry     •  Highly Pathogenic Avian Influenza (HPAI) in wild birds or captive birds  Also, according to OIE recommendations trade restrictions should be limited to the defined infected areas in the country concerned and should not include the whole territory of a country. Japan imposes countrywide bans following outbreaks of both LPAI and HPAI unless they entered into a regionalisation agreement. 	False	01 Jan 2006	05 Feb 2020	True	Restrictions related to outbreaks - avian influenza	[{'id': 51, 'sps': True, 'code': '100108', 'name': 'Avian Influenza (AI)', 'parentId': 43, 'active': True}]	"[{'@objid': 2, 'id': 7, 'sps': True, 'code': '0105', 'name': 'Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls', 'active': True, 'leaf': True, 'parent': 1, 'section': 1}, {'@objid': 3, 'id': 16, 'sps': True, 'code': '0207', 'name': 'Meat and edible offal, of the poultry of heading\xa00105, fresh, chilled or frozen', 'active': True, 'leaf': True, 'parent': {'@objid': 4, 'id': 9, 'sps': True, 'code': '02', 'name': 'Meat and edible meat offal', 'active': True, 'leaf': False, 'parent': None, 'section': 4}, 'section': 4}, {'@objid': 5, 'id': 35, 'sps': True, 'code': '0407', 'name': ""Birds' eggs, in shell, fresh, preserved or cooked"", 'active': True, 'leaf': True, 'parent': {'@objid': 6, 'id': 28, 'sps': True, 'code': '04', 'name': ""Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"", 'active': True, 'leaf': False, 'parent': None, 'section': 6}, 'section': 6}]"	[{'id': 20, 'code': 'S3000', 'name': 'Agriculture and Fisheries', 'active': True}]
10284	False	Active	Taiwan	"In February 2014 African swine fever (ASF) has been detected in Poland and in subsequent years also in BG, CZ, HU and BE. The EU took immediate measures to restrict movements out of the well-defined infect areas. Taiwan received detailed information but the Competent Authority of Taiwan continues to maintain its over-restrictive import policy.
Regionalisation/zoning is a well-establiched concept in international standards and also in the WTO SPS Agreement. Taiwan is breaching its international obligations by not recognising the disease free areas in the EU."	False	01 Feb 2014	03 Feb 2020	True	Non-recognition of regionalisation in the EU due to African Swine Fever (ASF)	[{'id': 50, 'sps': True, 'code': '100107', 'name': 'African Swine Fever (ASF)', 'parentId': 43, 'active': True}, {'id': 83, 'sps': True, 'code': '100409', 'name': 'Non recognition of regionalisation', 'parentId': 74, 'active': True}]	[{'@objid': 7, 'id': 12, 'sps': True, 'code': '0203', 'name': 'Meat of swine, fresh, chilled or frozen', 'active': True, 'leaf': True, 'parent': 4, 'section': 4}, {'@objid': 8, 'id': 15, 'sps': True, 'code': '0206', 'name': 'Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen', 'active': True, 'leaf': True, 'parent': 4, 'section': 4}, {'@objid': 9, 'id': 18, 'sps': True, 'code': '0209', 'name': 'Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked', 'active': True, 'leaf': True, 'parent': 4, 'section': 4}]	[{'id': 20, 'code': 'S3000', 'name': 'Agriculture and Fisheries', 'active': True}]
11600	False	Active	Thailand	"Multiple applications from the EU for exports of animals/plants and their products are pending for years without any indication when the process will be finalised.
The import procedure lacks clarity and predictability, being considered not transparent, overly burdensome and unnecessarily lengthy for the EU, given that all Member States apply the same, harmonised sanitary and phytosanitary rules. 
This policy disrespects the WTO SPS Agreement which states that approval procedures should be undertaken and completed without undue delay and in no less favourable manner for imported products than for like domestic products."	False	01 Jan 2012	03 Feb 2020	True	Cumbersome and undue delays of import application procedures	[{'id': 43, 'sps': True, 'code': '1001', 'name': 'ANIMAL HEALTH REASONS', 'parentId': None, 'active': True}, {'id': 58, 'sps': True, 'code': '1002', 'name': 'PLANT HEALTH REASONS', 'parentId': None, 'active': True}, {'id': 62, 'sps': True, 'code': '1003', 'name': 'PUBLIC HEALTH REASONS', 'parentId': None, 'active': True}]	[1, 4, {'@objid': 10, 'id': 69, 'sps': True, 'code': '08', 'name': 'Edible fruit and nuts; peel of citrus fruit or melons', 'active': True, 'leaf': False, 'parent': None, 'section': 10}]	[{'id': 20, 'code': 'S3000', 'name': 'Agriculture and Fisheries', 'active': True}]
10761	False	Active	South Korea	"The EU exporters face difficulties entering the Korean market due to long approval procedures. Korea has import procedures in place for both animal products and plant products. These are the so-called 8- step procedures. The procedure as such is transparent, but excessively long for getting access to the Korean market.
More specifically concerning fruit and vegetables: new types/origins of fruits and vegetables are not allowed for import before the phytosanitary requirements have been set by the national authorities. The import requirements include a pest risk analysis PRA, which may take several years to conclude. The capacity to handle applications is limited, meaning that only a limited number of applications can be handled at the same time. "	False	04 Apr 2012	03 Feb 2020	True	Slow procedures on applications to allow import of animal and plant products.	[{'id': 86, 'sps': True, 'code': '100412', 'name': 'Long approval procedures', 'parentId': 74, 'active': True}, {'id': 88, 'sps': True, 'code': '100414', 'name': 'Other SPS import restrictions', 'parentId': 74, 'active': True}]	[1, 4, {'@objid': 11, 'id': 54, 'sps': True, 'code': '07', 'name': 'Edible vegetables and certain roots and tubers', 'active': True, 'leaf': False, 'parent': None, 'section': 11}, 10]	[{'id': 20, 'code': 'S3000', 'name': 'Agriculture and Fisheries', 'active': True}]
12740	False	Active	South Korea	"Korea is imposing country- wide bans on EU Member States where African Swine Fever (ASF) was detected. The international standards for animal health (OIE) clearly define conditions to allow safe trade to continue from non- affected areas and on which products can be safely continued to be traded when an outbreak of African Swine Fever occurs.
The Commission continues to raise the matter with Korea in bilateral meetings and WTO SPS meetings as a Specific Trade Concern and calls Korea to respect its obligations under the WTO SPS Agreement and the international standards. 
Since September 2019 Korea is witnessing cases of Africn swine fever in feral and domestic pigs, giving the country a disease status that is no different from that of EU Member States from which imports are suspended.  "	False	15 Feb 2014	03 Feb 2020	True	Non- recognition of EU 's regionalisation measures implemented due to African Swine Fever	[{'id': 43, 'sps': True, 'code': '1001', 'name': 'ANIMAL HEALTH REASONS', 'parentId': None, 'active': True}, {'id': 50, 'sps': True, 'code': '100107', 'name': 'African Swine Fever (ASF)', 'parentId': 43, 'active': True}]	[7]	[{'id': 20, 'code': 'S3000', 'name': 'Agriculture and Fisheries', 'active': True}]
10760	False	Active	South Korea	"Unjustified import restrictions on bovine meat and meat related products relating to Bovine Spongifrom Envephalopathy (BSE). 
South-Korea does not import beef and other products from Member States due to Bovine Spongiform encephalopathy (BSE) related restrictions but resumed the import from other countries with the same OIE status (USA, CAN). EU considers the measures by Korea unjustified, discriminatory and in breach of OIE status. 
The issue has been raised with Korea in  numerous bilateral meeting at different levels as well as in the general session of the WTO SPS Committee.
In August 2019, imports from Denmark and The Netherlands were approved."	True	01 Dec 1996	03 Feb 2020	True	Import ban due to Bovine Spongiform Encephalopathy (BSE)	[{'id': 52, 'sps': True, 'code': '100130', 'name': 'Bovine Spongiform Encephalopaty (BSE)', 'parentId': 43, 'active': True}, {'id': 57, 'sps': True, 'code': '100136', 'name': 'Animal health reasons', 'parentId': 43, 'active': True}]	[{'@objid': 12, 'id': 4, 'sps': True, 'code': '0102', 'name': 'Live bovine animals', 'active': True, 'leaf': True, 'parent': 1, 'section': 1}, {'@objid': 13, 'id': 10, 'sps': True, 'code': '0201', 'name': 'Meat of bovine animals, fresh or chilled', 'active': True, 'leaf': True, 'parent': 4, 'section': 4}]	[{'id': 20, 'code': 'S3000', 'name': 'Agriculture and Fisheries', 'active': True}]
10780	False	Active	Turkey	"Decision 1/98 of the EC-Turkey Association Council granted to the EU important concessions on beef meat and live bovine animals. However, the EU could not benefit from these concessions due to the ban on imports of live bovine animals and beef products imposed by Turkey since 1998 which has been a major obstacle in agricultural trade relations between the EU and Turkey.
Since 2015 turkey again imports beef for fattening (under 400 kg weight) with a value around 400 Mio Europs in 2017 and since 2016 also a limited amout of beef is imported, mainly from FR and PL (Around 30 Mio Euros in 2017. Market access remains difficult due to administrative obstacles. "	True	08 Apr 2010	03 Feb 2020	True	Ban on EU exports of bovine meat and live bovines (BSE).	[{'id': 52, 'sps': True, 'code': '100130', 'name': 'Bovine Spongiform Encephalopaty (BSE)', 'parentId': 43, 'active': True}, {'id': 57, 'sps': True, 'code': '100136', 'name': 'Animal health reasons', 'parentId': 43, 'active': True}]	[12, 13]	[{'id': 20, 'code': 'S3000', 'name': 'Agriculture and Fisheries', 'active': True}]
14702	False	Active	Hong Kong	"Hong Kong implements a poultry embargo in case of outbreak of low pathogenic avian influenza (LPAI) in contradiction with European practices.
No further input received from Member States or industry. "	False	26 Feb 2019	03 Feb 2020	True	Temporary import suspension of poultry products in case of LPAI outbreak	[{'id': 43, 'sps': True, 'code': '1001', 'name': 'ANIMAL HEALTH REASONS', 'parentId': None, 'active': True}]	"[2, 3, 5, {'@objid': 14, 'id': 36, 'sps': True, 'code': '0408', 'name': ""Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter"", 'active': True, 'leaf': True, 'parent': 6, 'section': 6}, {'@objid': 15, 'id': 141, 'sps': True, 'code': '1506', 'name': 'Other animal fats and oils and their fractions, whether or not refined, but not chemically modified', 'active': True, 'leaf': True, 'parent': {'@objid': 16, 'id': 135, 'sps': True, 'code': '15', 'name': 'Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes', 'active': True, 'leaf': False, 'parent': None, 'section': 16}, 'section': 16}, {'@objid': 17, 'id': 158, 'sps': True, 'code': '1601', 'name': 'Sausages and similar products, of meat, meat offal or blood; food preparations based on these products', 'active': True, 'leaf': True, 'parent': {'@objid': 18, 'id': 157, 'sps': True, 'code': '16', 'name': 'Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates', 'active': True, 'leaf': False, 'parent': None, 'section': 18}, 'section': 18}, {'@objid': 19, 'id': 159, 'sps': True, 'code': '1602', 'name': 'Other prepared or preserved meat, meat offal or blood', 'active': True, 'leaf': True, 'parent': 18, 'section': 18}]"	[{'id': 20, 'code': 'S3000', 'name': 'Agriculture and Fisheries', 'active': True}]
14523	False	Active	Australia	"Australia performs risk assessments to approve the imports of each and every agriculture product, which takes into account mostly the animal and plant health health concerns of Australia. Australia's cumbersome import procedures are performed under Australia's resource constraints, require prioritization of the necessary work, are based on real import interests expressed by the Australian importers, require official requests to be filed by the competent authorities of the exporting countries, and result in undue delays. The import approval procedure is less demanding, and therefore faster, for example for heat-treated products of animal origin. EU exports of such heat-treated pork products already exist and are extremely important.
Since 2015, the European Commission and Australia are working together to mitigate the above-mentioned undue delays and allow in particular the exports of pork and pork products from all EU Member States, namely those EU Member States that cannot yet export but were already audited by Australia.
However, despite the progress in recent years (when a significant number of market access applications were processed by Australia), it is not yet known when and how the approval from these Member States of pork and other products of animal and plant origin will be granted by Australia."	False	01 Mar 2017	30 Jan 2020	True	Backlog of market access applications	[{'id': 86, 'sps': True, 'code': '100412', 'name': 'Long approval procedures', 'parentId': 74, 'active': True}]	[13, 7, 19]	[{'id': 20, 'code': 'S3000', 'name': 'Agriculture and Fisheries', 'active': True}]
